#######################
##
## License goes here
##
#######################
a	A
apel	a:p@l
apendelen	Ap@nd@l@n
aperhoer	a:p6ho:6
apostel	Apost@l
apostele	Apost@l@
apostroph	ApostRof
apparat	ApARa:t
appartement	ApARt@m{nt
äppelbam	{p@lba:m
äppeljus	{p@lZy:
appetit	Ap@tit
appetitlech	Ap@titl@s\
applaus	AplAUs
approche	ApRoS
approchë	ApRoS@
approchen	ApRoS@n
approuvéiere	ApRuv3I@R@
approuvéieren	ApRuv3I@R@n
approximatiivt	ApRoksimAti:ft
approximativ	ApRoksimAti:f
approximative	ApRoksima:ti:v@
appui	ApHi:
apräägs	ApRE:s\s
aprägen	ApRE:z\@n
aprikos	ApRiko:s
aquaplaning	Akwa:pla:niN
aquarium	Akwa:Rium
äquator	e:kwa:to:R
är	E:R
arabesch	ARa:b@S
araume	ARAUm@
araumen	ARAUm@n
arbitter	ARbit6
arbitterinne	ARbit@Rin@
arcadë	ARka:d@
arcade	ARka:t
arcaden	ARka:d@n
archaesch	ARka:@S
archaeschen	ARka:@S@n
archeolog	ARke:o:lo:k
archeologe	ARke:o:lo:g@
archeologen	ARke:o:lo:g@n
archeologinne	ARke:o:lo:gin@
architekt	ARSit{kt
architektinne	ARs\it{ktin@
architektur	ARs\it{ktu:6
architekture	ARs\it{ktu:R@
architekturen	ARs\it{ktu:R@n
archiv	ARs\i:f
archive	ARs\iv@
archivistinne	ARs\ivistin@
äre	E:R@
arem	a:R@m
ären	E:R@n
arenne	AR{n@
arennen	AR{n@n
ärer	E:R6
ariichte	ARi:s\t@
ariichten	ARi:s\t@n
aristokratinne	ARistokRa:tin@
arméi	ARm3I
arrêt	ARE:
arrêté	ARe:te:
arrête	ARE:@
arrêtéë	ARe:te:@
arrêtéen	ARe:te:@n
arrêten	ARE:@n
arrivée	ARive:
arrogant	ARo:gAnt
arrogante	ARo:gAnt@
arterie	ARte:Rj@
arterien	ARte:Rj@n
arthrite	ARtRit
artichaut	ARtiSo:
artikel	ARtik@l
artist	ARtist
artisteschste	ARtist@Sst@
artisteschstem	ARtist@Sst@m
